year,com.cpue,sur.cpue,sur.juv.cpue,perc.left,tac,landings
1984,1391,NA,NA,NA,NA,NA
1985,12.1,969,NA,NA,NA,NA
1986,11.1,720,NA,NA,NA,NA
1987,11.8,1095,NA,NA,NA,NA
1988,12,1207,NA,NA,NA,NA
1989,9,839,NA,NA,NA,NA
1990,9.1,910,NA,NA,NA,NA
1991,13.6,1562,NA,NA,NA,NA
1992,20.3,1300,1289,NA,NA,NA
1993,25.2,1300,1305,NA,NA,NA
1994,24.2,73.4,1820,1788,NA,NA
1995,23.8,70,1820,1774,NA,NA
1996,18.7,13.3,3.5,56.5,1547,1502
1997,15.1,21.5,15.3,77.3,1315,1158
1998,15.1,29.9,22.2,83.3,1315,1285
1999,22.4,60.4,31.2,98.2,1775,1758
2000,32.1,97.4,41.8,99.3,2130,2133
2001,34.3,106.1,48.5,99.3,2725,2741
2002,31.4,90,42.1,78.5,3020,2935
2003,28.6,94.7,27.8,91.1,2567,2586
2004,25.9,119.3,27.8,1925,1939,
2005,24,123.3,26.9,75.1,2310,2315
2006,18.4,72.4,27.1,68.6,2541,2537
2007,16,55.2,18.9,38,1906,1901
2008,12.8,65,23.4,31,1430,1396
2009,17,65,17.7,23.9,1434,1434
2010,64.4,18.2,1430,1434,NA,NA
